Course Code,Course Name,Pre-requisite,Hours,Units,Year,Semester
BCS1101,DISCRETE STRUCTURES 1,,3,3,1,1
CCS1101,INTRODUCTION TO COMPUTING (Lec),,2,2,1,1
CCS1101L,INTRODUCTION TO COMPUTING (Lab),,3,1,1,1
CCS1102,FUNDAMENTALS OF PROGRAMMING (Lec),,2,2,1,1
CCS1102L,FUNDAMENTALS OF PROGRAMMING (Lab),,3,1,1,1
FCL100,The Perpetualite: The Identity and Dignity,,2,2,1,1
GEE300,Gender and Society,,3,3,1,1
GEC100,ART APPRECIATION,,3,3,1,1
GEC500,MATHEMATICS IN THE MODERN WORLD,,3,3,1,1
NST100,National Service Training Program I,,3,3,1,1
PATHFIT1,Physical Activities Towards Health and Fitness 1,,2,2,1,1
BCS1202,DISCRETE STRUCTURES 2,BCS1101,3,3,1,2
CCS1203,PROGRAMMING 2 (Lec),CCS1102,2,2,1,2
CCS1203L,PROGRAMMING 2 (Lab),CCS1102L,3,1,1,2
FCL200,The Perpetualite: A Man of God,FCL100,2,2,1,2
GEE200,Environmental Science,FIL100,3,3,1,2
GEC600,PURPOSIVE COMMUNICATION,,3,3,1,2
GEC800,UNDERSTANDING THE SELF,,3,3,1,2
NST200,National Service Training Program 2,NST100,3,3,1,2
PATHFIT2,Physical Activities Towards Health and Fitness 2,PATHFIT1,2,2,1,2
BIT2103,NETWORKING AND COMMUNICATION 1 Lec,,2,2,2,1
BIT2103L,NETWORKING AND COMMUNICATION 1 Lab,,3,1,2,1
BCSELEC1,Math Elective (Mathematical and Statistical Skills),,3,3,2,1
BIT2105,SOCIAL AND PROFESSIONAL ISSUES,,3,3,2,1
CCS2104,DATA STRUCTURES (Lec),CCS1203,2,2,2,1
CCS2104L,DATA STRUCTURES (Lab),CCS1203L,3,1,2,1
FCL300,The Perpetualite: Called to Perfection,,2,2,2,1
GEC300,THE CONTEMPORARY WORLD,,3,3,2,1
GEE100,LIVING IN THE IT ERA,,2,2,2,1
PATHFIT3,Physical Activities Towards Health and Fitness 3,PATHFIT2,2,2,2,1
BCS2203,Design and Analysis of Algorithm (Lec),CCS2104,2,2,2,2
BCS2203L,Design and Analysis of Algorithm (Lab),CCS2104L,3,1,2,2
BCS2216,INTRODUCTION TO DATA SCIENCE,,3,3,2,2
BIT2208,WEB SYSTEMS & TECHNOLOGIES Lec,BIT2103,2,2,2,2
BIT2208L,WEB SYSTEMS & TECHNOLOGIES Lab,BIT2103L,3,1,2,2
BIT1202,HUMAN COMPUTER INTERACTION 1 Lec,BIT2104,2,2,2,2
BIT1202L,HUMAN COMPUTER INTERACTION 1 Lab,BIT2104L,3,1,2,2
CCS2205,DATABASE SYSTEM 1 (Information Management) Lec,CCS2104,2,2,2,2
CCS2205L,DATABASE SYSTEM 1 (Information Management) Lab,CCS2104L,3,1,2,2
FCL400,The Perpetualite: A Man for Others,FCL300,2,2,2,2
GEC400,READINGS IN PHILIPPINE HISTORY,,3,3,2,2
PATHFIT4,Physical Activities Towards Health and Fitness 4,PATHFIT3,2,2,2,2
BCS3105,AUTOMATA THEORY AND FORMAL LANGUAGES,BCS2203,3,3,3,1
BIT3113,DATA MINING (Lec),BCS2216,2,2,3,1
BIT3113L,DATA MINING (Lab),BCS2216,3,1,3,1
BCS3107,Computer Organization w/Assembly Language (Lec),BCS2203,2,2,3,1
BCS3107L,Computer Organization w/ Assembly Language (Lab),BCS2203L,3,1,3,1
BIT3112,ARTIFICIAL INTELLIGENCE,BIT2104,3,3,3,1
BCS4113,INFORMATION ASSURANCE AND SECURITY Lec,CCS2205,2,2,3,1
BCS4113L,INFORMATION ASSURANCE AND SECURITY Lab,CCS2205L,3,1,3,1
FCL500,The Perpetualite: A Filipino Christian Leader,FCL400,2,2,3,1
GEC700,"SCIENCE, TECHNOLOGY AND SOCIETY",,3,3,3,1
BCS3208,SOFTWARE ENGINEERING (Lec),BCS3106,2,2,3,2
BCS3208L,SOFTWARE ENGINEERING (Lab),BCS3106L,3,1,3,2
BCS3217,DATA VISUALIZATION (Lec),BIT3113,2,2,3,2
BCS3217L,DATA VISUALIZATION (Lab),BIT3113L,3,1,3,2
BCS3210,PARALLEL AND DISTRIBUTED COMPUTING,BCS3107,3,3,3,2
BIT3215,HUMAN COMPUTER INTERACTION 2 Lec,BIT1202,2,2,3,2
BIT3215L,HUMAN COMPUTER INTERACTION 2 Lab,BIT1202L,3,1,3,2
BIT3217,BUSINESS INTELLIGENCE,BIT3112,3,3,3,2
FCL600,The Perpetualite: A Minister of Life,FCL500,2,2,3,2
GEC200,ETHICS,,3,3,3,2
RIZ100,THE LIFE AND WORKS OF RIZAL,,3,3,3,2
BCS3311,OJT / PRACTICUM,3rd year,3,3,3,3
BCS4112,THESIS 1,4th year,3,3,4,1
BCS4118,DATA WAREHOUSING (Lec),BCS3217,2,2,4,1
BCS4118L,DATA WAREHOUSING (Lab),BCS3217L,3,1,4,1
BIT4120,SYSTEM FUNDAMENTALS Lec,BCS3208,2,2,4,1
BIT4120L,SYSTEM FUNDAMENTALS Lab,BCS3208L,3,1,4,1
BCS3209,PROGRAMMING LANGUAGES Lec,BCS3208,2,2,4,1
BCS3209L,PROGRAMMING LANGUAGES Lab,BCS3208L,3,1,4,1
FCL700,The Perpetualite: A Character and Nation Builder,FCL600,2,2,4,1
BCS4115,THESIS 2,BCS4112,3,3,4,2
CCS4206,APPLICATION DEVELOPMENT AND EMERGING TECHNOLOGIES,,3,3,4,2
BCS4114,OPERATING SYSTEM CONFIGURATION AND USE (Lec),BCS3209,2,2,4,2
BCS4114L,OPERATING SYSTEM CONFIGURATION AND USE (Lab),BCS3209L,3,1,4,2
FCL800,The Perpetualite: A Helper of God,FCL700,2,2,4,2
