Course Code,Course Name,Pre-requisite,Hours,Units,Year,Semester
BIT1101,INFORMATION ASSURANCE IN SECURITY 1,,3,3,1,1
CCS1101,INTRODUCTION TO COMPUTING (Lec),,2,2,1,1
CCS1101L,INTRODUCTION TO COMPUTING (Lab),,3,1,1,1
CCS1102,FUNDAMENTALS OF PROGRAMMING (Lec),,2,2,1,1
CCS1102L,FUNDAMENTALS OF PROGRAMMING (Lab),,3,1,1,1
FCL100,The Perpetualite: The Identity and Dignity,,2,2,1,1
GEC100,ART APPRECIATION,,3,3,1,1
GEC500,MATHEMATICS IN THE MODERN WORLD,,3,3,1,1
GEE300,GENDER AND SOCIETY,,3,3,1,1
NST100,National Service Training Program I,,3,3,1,1
PATHFIT1,Physical Activities Towards Health and Fitness 1,,2,2,1,1
BIT1202,HUMAN COMPUTER INTERACTION 1 Lec,BIT2104,2,2,1,2
BIT1202L,HUMAN COMPUTER INTERACTION 1 Lab,BIT2104L,3,1,1,2
CCS1203,PROGRAMMING 2 (Lec),CCS1102,2,2,1,2
CCS1203L,PROGRAMMING 2 (Lab),CCS1102L,3,1,1,2
BIT1224,SCRIPT WRITING AND STORYBOARD DESIGN,,3,3,1,2
FCL200,The Perpetualite: A Man of God,FCL100,2,2,1,2
GEC600,PURPOSIVE COMMUNICATION,,3,3,1,2
GEC800,UNDERSTANDING THE SELF,,3,3,1,2
GEE200,ENVIRONMENTAL SCIENCE,,3,3,1,2
NST200,National Service Training Program 2,NST100,3,3,1,2
PATHFIT2,Physical Activities Towards Health and Fitness 2,PATHFIT1,2,2,1,2
BIT2103,NETWORKING AND COMMUNICATION 1 Lec,,2,2,2,1
BIT2103L,NETWORKING AND COMMUNICATION 1 Lab,,3,1,2,1
BIT2104,GRAPHICS AND VISUAL COMPUTING Lec,CCS1203,2,2,2,1
BIT2104L,GRAPHICS AND VISUAL COMPUTING Lab,CCS1203L,3,1,2,1
BIT2105,SOCIAL AND PROFESSIONAL ISSUES,,3,3,2,1
CCS2104,DATA STRUCTURES (Lec),CCS1203,2,2,2,1
CCS2104L,DATA STRUCTURES (Lab),CCS1203L,3,1,2,1
FCL300,The Perpetualite: Called to Perfection,,2,2,2,1
GEC300,THE CONTEMPORARY WORLD,,3,3,2,1
GEE100,LIVING IN THE IT ERA,,2,2,2,1
PATHFIT3,Physical Activities Towards Health and Fitness 3,PATHFIT2,2,2,2,1
BIT2225,"INTRODUCTION TO GAME DESIGN AND DEVELOPMENT
(Lab)",BIT1224,2,2,2,2
BIT2225L,"INTRODUCTION TO GAME DESIGN AND DEVELOPMENT
(Lab)",BIT1224L,3,1,2,2
BIT2207,INTEGRATED PROGRAMMING & TECHNOLOGIES Lec,CCS2104,2,2,2,2
BIT2207L,INTEGRATED PROGRAMMING & TECHNOLOGIES Lab,CCS2104L,3,1,2,2
BIT2208,WEB SYSTEMS & TECHONOLOGIES Lec,BIT2103,2,2,2,2
BIT2208L,WEB SYSTEMS & TECHONOLOGIES Lab,BIT2103L,3,1,2,2
CCS2205,"DATABASE SYSTEM 1 (INFORMATION MANAGEMENT)
Lec",CCS2104,2,2,2,2
CCS2205L,"DATABASE SYSTEM 1 (INFORMATION MANAGEMENT)
Lab",CCS2104L,3,1,2,2
FCL400,The Perpetualite: A Man for Others,FCL100,2,2,2,2
GEC400,READINGS IN PHILIPPINE HISTORY,,3,3,2,2
PATHFIT4,Physical Activities Towards Health and Fitness 4,PATHFIT3,2,2,2,2
BIT3109,Discrete Mathematics,CCS2104,3,3,3,1
BIT3110,Database System 2 Lec,CCS2205,2,2,3,1
BIT3110L,Database System 2 Lab,CCS2205L,3,1,3,1
BIT3111,System Integration and Architecture Lec,BIT2207,2,2,3,1
BIT3111L,System Integration and Architecture Lab,BIT2207L,3,1,3,1
BIT3126,ADVANCED GAME DESIGN (Lec),BIT2225,2,2,3,1
BIT3126L,ADVANCED GAME DESIGN (Lab),BIT2225L,3,1,3,1
BIT3127,COMPUTER GRAPHICS PROGRAMMING (Lec),BIT2207,2,2,3,1
BIT3127L,COMPUTER GRAPHICS PROGRAMMING (Lab),BIT2207L,3,1,3,1
FCL500,The Perpetualite: A Filipino Christian Leader,FCL400,2,2,3,1
GEC700,"SCIENCE, TECHNOLOGY AND SOCIETY",,3,3,3,1
BIT3213,System Administration and Maintenance Lec,BIT3111,2,2,3,2
BIT3213L,System Administration and Maintenance Lab,BIT3111L,3,1,3,2
BIT3228,MODELING and RIGGING (Lec),BIT3126,2,2,3,2
BIT3228L,MODELING and RIGGING (Lab),BIT3126L,3,1,3,2
BIT3215,HUMAN COMPUTER INTERACTION 2 Lec,BIT1202,2,2,3,2
BIT3215L,HUMAN COMPUTER INTERACTION 2 Lab,BIT1202L,3,1,3,2
BIT3229,ANIMATION DESIGN AND PRODUCTION (Lec),BIT3126,2,2,3,2
BIT3229L,ANIMATION DESIGN AND PRODUCTION (Lab),BIT3126L,3,1,3,2
BIT3230,ARTIFICIAL INTELLIGENCE IN GAMES,BIT3127,3,3,3,2
FCL600,The Perpetualite: A Minister of Life,FCL500,2,2,3,2
GEC200,ETHICS,,3,3,3,2
RIZ100,THE LIFE AND WORKS OF RIZAL,,3,3,3,2
BIT4118,Capstone Project 1,4th yr Standing,3,3,4,1
BIT4119,Practicum,4th yr Standing,0,6,4,1
BIT4120,SYSTEM FUNDAMENTALS Lec,BIT3213L,2,2,4,1
BIT4120L,SYSTEM FUNDAMENTALS Lab,BIT3213L,3,1,4,1
FCL700,The Perpetualite: A Character and Nation Builder,FCL600,2,2,4,1
BIT4222,Capstone Project 2,BIT4118,3,3,4,2
BIT4231,TEXTURE AND MAPPING (Lec),BIT3228,2,2,4,2
BIT4231L,TEXTURE AND MAPPING (Lab),BIT3228L,3,1,4,2
BIT4232,GAME NETWORKING (Lec),BIT3126,2,2,4,2
BIT4232L,GAME NETWORKING (Lab),BIT3126L,3,1,4,2
CCS4206,APPLICATION DEVELOPMENT AND EMERGING TECHNOLOGIES,,3,3,4,2
FCL800,The Perpetualite: A Helper of God,FCL700,2,2,4,2
